Name,comarea_id,pop_2021,svi_2020,safety_2018,hhinc_2021,hardship_2021,poverty_2021
Rogers Park,1,53204.40615,80.58148763,73,51702.58109,57.26775685,21.46204654
West Ridge,2,79910.62781,82.31879034,75.6,61465.8299,72.11939144,17.05835618
Uptown,3,54085.29678,67.2023098,81.9,64213.30232,39.70079776,21.32208299
Lincoln Square,4,42252.23779,40.77598174,90.1,84401.22626,22.81200402,8.521221015
North Center,5,37131.56636,13.7436846,95.3,142241.306,3.881563084,4.342606231
Lake View,6,91415.39036,16.93129364,94.4,110224.0258,4.929819655,8.228447608
Lincoln Park,7,62786.18506,16.50656266,86.3,151341.8782,2.4575246,8.306923892
Near North Side,8,89246.41152,26.19847509,85.8,117731.2519,3.524901601,9.619736537
Edison Park,9,11490.35614,8.161747628,100,113380.7184,6.984633719,4.982643432
Norwood Park,10,42501.96541,40.18040829,96.3,96762.55615,30.26220412,6.857635965
Jefferson Park,11,27155.68021,43.86961369,97.4,84746.49091,38.06467418,8.873097794
Forest Glen,12,20293.42839,23.78997063,95.4,132773.527,15.95786826,3.327424599
North Park,13,18794.08144,73.4950099,96.1,63709.51296,59.85920328,15.11288669
Albany Park,14,48822.58836,75.07096934,87.1,71978.41253,63.94918197,13.65700001
Portage Park,15,65582.10596,61.48078804,90.9,78898.51598,48.18538999,8.241121057
Irving Park,16,54247.70924,60.29562945,83,79728.39043,43.23041229,9.623948756
Dunning,17,44249.39929,43.25514143,94,78217.95743,38.60351934,7.656248474
Montclare,18,13784.93971,83.24064895,79,55998.15974,63.25227239,11.86472994
Belmont Cragin,19,78655.94811,80.12941295,65,60868.82071,81.20895486,14.92943996
Hermosa,20,23267.21331,79.97182398,66.9,60492.9371,76.03882293,13.87729517
Avondale,21,36808.09203,62.33928074,80,79994.68857,40.52971962,11.92348227
Logan Square,22,71663.11748,40.92270843,84.9,95764.48407,22.42467373,11.00051428
Humboldt Park,23,55399.94607,88.19665721,48.5,47907.05407,80.18813435,23.44130213
West Town,24,86866.9568,24.95825349,86,121221.6371,8.186775122,8.993107201
