NAME,RIDERSHIP_ID,YEAR,MONTH,DAY_TYPE,TOTAL_RIDES,DAILY_AVG_RIDES
18th,830,1999,01,Weekday,17745,887
18th,830,1999,01,Saturday,9,2
18th,830,1999,01,Sunday - Holiday,1,0
18th,830,1999,02,Weekday,19315,966
18th,830,1999,02,Saturday,13,3
18th,830,1999,02,Sunday - Holiday,0,0
18th,830,1999,03,Weekday,23213,1009
18th,830,1999,03,Saturday,9,2
18th,830,1999,03,Sunday - Holiday,0,0
18th,830,1999,04,Weekday,22397,1018
18th,830,1999,04,Saturday,4,1
18th,830,1999,04,Sunday - Holiday,0,0
18th,830,1999,05,Weekday,20000,1000
18th,830,1999,05,Saturday,9,2
18th,830,1999,05,Sunday - Holiday,0,0
18th,830,1999,06,Weekday,22449,1020
18th,830,1999,06,Saturday,6,2
18th,830,1999,06,Sunday - Holiday,0,0
18th,830,1999,07,Weekday,20926,951
18th,830,1999,07,Saturday,6,1
18th,830,1999,07,Sunday - Holiday,0,0
18th,830,1999,08,Weekday,21498,977
18th,830,1999,08,Saturday,11,3
18th,830,1999,08,Sunday - Holiday,0,0
18th,830,1999,09,Weekday,21665,1032
18th,830,1999,09,Saturday,6,2
18th,830,1999,09,Sunday - Holiday,0,0
18th,830,1999,10,Weekday,21403,1019
18th,830,1999,10,Saturday,17,3
18th,830,1999,10,Sunday - Holiday,0,0
18th,830,1999,11,Weekday,20455,974
18th,830,1999,11,Saturday,8,2
18th,830,1999,11,Sunday - Holiday,1,0
18th,830,1999,12,Weekday,18978,825
18th,830,1999,12,Saturday,7,2
18th,830,1999,12,Sunday - Holiday,0,0
18th,830,2000,01,Weekday,18367,875
18th,830,2000,01,Saturday,7,2
18th,830,2000,01,Sunday - Holiday,0,0
18th,830,2000,02,Weekday,19370,922
18th,830,2000,02,Saturday,16,4
18th,830,2000,02,Sunday - Holiday,0,0
18th,830,2000,03,Weekday,22008,957
18th,830,2000,03,Saturday,13,3
18th,830,2000,03,Sunday - Holiday,0,0
18th,830,2000,04,Weekday,19668,983
18th,830,2000,04,Saturday,10,2
18th,830,2000,04,Sunday - Holiday,0,0
18th,830,2000,05,Weekday,22295,1013
18th,830,2000,05,Saturday,5,1
18th,830,2000,05,Sunday - Holiday,0,0
18th,830,2000,06,Weekday,23450,1066
18th,830,2000,06,Saturday,9,2
18th,830,2000,06,Sunday - Holiday,0,0
18th,830,2000,07,Weekday,21176,1059
18th,830,2000,07,Saturday,11,2
18th,830,2000,07,Sunday - Holiday,0,0
18th,830,2000,08,Weekday,24379,1060
18th,830,2000,08,Saturday,21,5
18th,830,2000,08,Sunday - Holiday,0,0
18th,830,2000,09,Weekday,21044,1052
18th,830,2000,09,Saturday,9,2
18th,830,2000,09,Sunday - Holiday,0,0
18th,830,2000,10,Weekday,23293,1059
18th,830,2000,10,Saturday,15,4
18th,830,2000,10,Sunday - Holiday,0,0
18th,830,2000,11,Weekday,21545,1026
18th,830,2000,11,Saturday,9,2
18th,830,2000,11,Sunday - Holiday,2,0
18th,830,2000,12,Weekday,19315,966
18th,830,2000,12,Saturday,16,3
18th,830,2000,12,Sunday - Holiday,0,0
18th,830,2001,01,Weekday,21281,967
18th,830,2001,01,Saturday,20,5
18th,830,2001,01,Sunday - Holiday,0,0
18th,830,2001,02,Weekday,19952,998
18th,830,2001,02,Saturday,3,1
18th,830,2001,02,Sunday - Holiday,0,0
18th,830,2001,03,Weekday,21993,1000
18th,830,2001,03,Saturday,5,1
18th,830,2001,03,Sunday - Holiday,0,0
18th,830,2001,04,Weekday,21281,1013
18th,830,2001,04,Saturday,16,4
18th,830,2001,04,Sunday - Holiday,0,0
18th,830,2001,05,Weekday,22653,1030
18th,830,2001,05,Saturday,22,6
18th,830,2001,05,Sunday - Holiday,0,0
18th,830,2001,06,Weekday,21443,1021
18th,830,2001,06,Saturday,19,4
18th,830,2001,06,Sunday - Holiday,0,0
18th,830,2001,07,Weekday,22392,1066
18th,830,2001,07,Saturday,16,4
18th,830,2001,07,Sunday - Holiday,14,2
18th,830,2001,08,Weekday,23030,1001
18th,830,2001,08,Saturday,8,2
18th,830,2001,08,Sunday - Holiday,0,0
18th,830,2001,09,Weekday,19310,1016
18th,830,2001,09,Saturday,13,3
18th,830,2001,09,Sunday - Holiday,0,0
18th,830,2001,10,Weekday,23905,1039
18th,830,2001,10,Saturday,8,2
18th,830,2001,10,Sunday - Holiday,0,0
18th,830,2001,11,Weekday,20781,990
18th,830,2001,11,Saturday,9,2
18th,830,2001,11,Sunday - Holiday,0,0
18th,830,2001,12,Weekday,17999,900
18th,830,2001,12,Saturday,9,2
18th,830,2001,12,Sunday - Holiday,1,0
18th,830,2002,01,Weekday,20002,909
18th,830,2002,01,Saturday,1,0
18th,830,2002,01,Sunday - Holiday,0,0
18th,830,2002,02,Weekday,19168,958
18th,830,2002,02,Saturday,5,1
18th,830,2002,02,Sunday - Holiday,0,0
18th,830,2002,03,Weekday,20144,959
18th,830,2002,03,Saturday,8,2
18th,830,2002,03,Sunday - Holiday,0,0
18th,830,2002,04,Weekday,22215,1010
18th,830,2002,04,Saturday,12,3
18th,830,2002,04,Sunday - Holiday,0,0
18th,830,2002,05,Weekday,22277,1013
18th,830,2002,05,Saturday,24,6
18th,830,2002,05,Sunday - Holiday,0,0
18th,830,2002,06,Weekday,20358,1018
18th,830,2002,06,Saturday,27,7
18th,830,2002,07,Weekday,22470,1021
18th,830,2002,07,Saturday,8,3
18th,830,2002,07,Sunday - Holiday,4,4
18th,830,2002,08,Weekday,21224,965
18th,830,2002,08,Saturday,20,5
18th,830,2002,09,Weekday,20742,1037
18th,830,2002,09,Saturday,10,3
18th,830,2002,10,Weekday,23893,1039
18th,830,2002,10,Saturday,15,5
18th,830,2002,11,Weekday,19571,979
18th,830,2002,11,Saturday,19,4
18th,830,2002,11,Sunday - Holiday,2,2
18th,830,2002,12,Weekday,19154,912
18th,830,2002,12,Saturday,13,3
18th,830,2002,12,Sunday - Holiday,1,1
18th,830,2003,01,Weekday,19639,893
18th,830,2003,01,Saturday,5,2
18th,830,2003,02,Weekday,18812,941
18th,830,2003,02,Saturday,10,3
18th,830,2003,03,Weekday,20980,999
18th,830,2003,03,Saturday,21,5
18th,830,2003,04,Weekday,22679,1031
18th,830,2003,04,Saturday,39,10
18th,830,2003,05,Weekday,20576,980
18th,830,2003,05,Saturday,15,3
18th,830,2003,06,Weekday,20705,986
18th,830,2003,06,Saturday,8,4
18th,830,2003,07,Weekday,22295,1013
18th,830,2003,07,Saturday,12,4
18th,830,2003,07,Sunday - Holiday,7,7
18th,830,2003,08,Weekday,20779,989
18th,830,2003,08,Saturday,12,3
18th,830,2003,09,Weekday,22061,1051
18th,830,2003,09,Saturday,35,9
18th,830,2003,10,Weekday,24505,1065
18th,830,2003,10,Saturday,13,3
18th,830,2003,11,Weekday,19103,1005
18th,830,2003,11,Saturday,7,2
18th,830,2003,11,Sunday - Holiday,2,2
18th,830,2003,12,Weekday,19434,883
18th,830,2003,12,Saturday,13,3
18th,830,2003,12,Sunday - Holiday,6,6
18th,830,2004,01,Weekday,17993,857
18th,830,2004,01,Saturday,5,2
18th,830,2004,01,Sunday - Holiday,2,2
18th,830,2004,02,Weekday,17847,892
18th,830,2004,02,Saturday,13,4
18th,830,2004,03,Weekday,21638,941
18th,830,2004,03,Saturday,14,4
18th,830,2004,04,Weekday,21035,956
18th,830,2004,04,Saturday,5,5
18th,830,2004,05,Weekday,19210,961
18th,830,2004,05,Saturday,16,3
18th,830,2004,05,Sunday - Holiday,1,1
18th,830,2004,06,Weekday,21210,964
18th,830,2004,06,Saturday,16,4
18th,830,2004,07,Weekday,20210,962
18th,830,2004,07,Saturday,16,3
18th,830,2004,08,Weekday,19164,871
18th,830,2004,08,Saturday,9,2
18th,830,2004,09,Weekday,19811,943
18th,830,2004,09,Saturday,5,2
18th,830,2004,10,Weekday,20159,960
18th,830,2004,10,Saturday,26,5
18th,830,2004,11,Weekday,19198,914
18th,830,2004,11,Saturday,27,7
18th,830,2004,11,Sunday - Holiday,7,7
18th,830,2004,12,Weekday,18881,821
18th,830,2004,12,Saturday,18,6
18th,830,2005,01,Weekday,19203,914
18th,830,2005,01,Saturday,1561,390
18th,830,2005,01,Sunday - Holiday,1410,235
18th,830,2005,02,Weekday,19324,966
18th,830,2005,02,Saturday,1974,494
18th,830,2005,02,Sunday - Holiday,1055,264
18th,830,2005,03,Weekday,22751,989
18th,830,2005,03,Saturday,1991,498
18th,830,2005,03,Sunday - Holiday,1165,291
18th,830,2005,04,Weekday,22331,1063
18th,830,2005,04,Saturday,2722,544
18th,830,2005,04,Sunday - Holiday,1287,322
18th,830,2005,05,Weekday,22467,1070
18th,830,2005,05,Saturday,2280,570
18th,830,2005,05,Sunday - Holiday,2192,365
18th,830,2005,06,Weekday,23507,1069
18th,830,2005,06,Saturday,2100,525
18th,830,2005,06,Sunday - Holiday,1430,358
18th,830,2005,07,Weekday,21435,1072
18th,830,2005,07,Saturday,3170,634
18th,830,2005,07,Sunday - Holiday,2704,451
18th,830,2005,08,Weekday,24561,1068
18th,830,2005,08,Saturday,2371,593
18th,830,2005,08,Sunday - Holiday,1710,428
18th,830,2005,09,Weekday,25127,1197
18th,830,2005,09,Saturday,2644,661
18th,830,2005,09,Sunday - Holiday,2104,421
18th,830,2005,10,Weekday,24975,1189
18th,830,2005,10,Saturday,3592,718
18th,830,2005,10,Sunday - Holiday,2732,546
18th,830,2005,11,Weekday,22729,1082
18th,830,2005,11,Saturday,2713,678
18th,830,2005,11,Sunday - Holiday,1885,377
18th,830,2005,12,Weekday,20796,990
18th,830,2005,12,Saturday,2937,587
18th,830,2005,12,Sunday - Holiday,1848,370
18th,830,2006,01,Weekday,21638,1030
18th,830,2006,01,Saturday,2315,579
18th,830,2006,01,Sunday - Holiday,2237,373
18th,830,2006,02,Weekday,21428,1071
18th,830,2006,02,Saturday,2356,589
18th,830,2006,02,Sunday - Holiday,1475,369
18th,830,2006,03,Weekday,25474,1108
18th,830,2006,03,Saturday,2742,686
18th,830,2006,03,Sunday - Holiday,1711,428
18th,830,2006,04,Weekday,22818,1141
18th,830,2006,04,Saturday,3587,717
18th,830,2006,04,Sunday - Holiday,2270,454
18th,830,2006,05,Weekday,26113,1187
18th,830,2006,05,Saturday,3005,751
18th,830,2006,05,Sunday - Holiday,2560,512
18th,830,2006,06,Weekday,25801,1173
18th,830,2006,06,Saturday,3015,754
18th,830,2006,06,Sunday - Holiday,2004,501
18th,830,2006,07,Weekday,24040,1202
18th,830,2006,07,Saturday,3735,747
18th,830,2006,07,Sunday - Holiday,3213,536
18th,830,2006,08,Weekday,26403,1148
18th,830,2006,08,Saturday,3021,755
18th,830,2006,08,Sunday - Holiday,2302,576
18th,830,2006,09,Weekday,24933,1247
18th,830,2006,09,Saturday,3990,798
18th,830,2006,09,Sunday - Holiday,2686,537
18th,830,2006,10,Weekday,27713,1260
18th,830,2006,10,Saturday,3379,845
18th,830,2006,10,Sunday - Holiday,3576,715
18th,830,2006,11,Weekday,25653,1222
18th,830,2006,11,Saturday,3252,813
18th,830,2006,11,Sunday - Holiday,2387,477
18th,830,2006,12,Weekday,22163,1108
18th,830,2006,12,Saturday,3347,669
18th,830,2006,12,Sunday - Holiday,2582,430
18th,830,2007,01,Weekday,24865,1130
18th,830,2007,01,Saturday,2760,690
18th,830,2007,01,Sunday - Holiday,2141,428
18th,830,2007,02,Weekday,22674,1134
18th,830,2007,02,Saturday,2649,662
18th,830,2007,02,Sunday - Holiday,1683,421
18th,830,2007,03,Weekday,26400,1200
18th,830,2007,03,Saturday,3605,721
18th,830,2007,03,Sunday - Holiday,2127,532
18th,830,2007,04,Weekday,25520,1215
18th,830,2007,04,Saturday,2926,732
18th,830,2007,04,Sunday - Holiday,2589,518
18th,830,2007,05,Weekday,28207,1282
18th,830,2007,05,Saturday,3081,770
18th,830,2007,05,Sunday - Holiday,2526,505
18th,830,2007,06,Weekday,28381,1351
18th,830,2007,06,Saturday,3988,798
18th,830,2007,06,Sunday - Holiday,2378,595
18th,830,2007,07,Weekday,29108,1386
18th,830,2007,07,Saturday,3207,802
18th,830,2007,07,Sunday - Holiday,3786,631
18th,830,2007,08,Weekday,30151,1311
18th,830,2007,08,Saturday,3136,784
18th,830,2007,08,Sunday - Holiday,2351,588
18th,830,2007,09,Weekday,27726,1459
18th,830,2007,09,Saturday,4536,907
18th,830,2007,09,Sunday - Holiday,3604,601
18th,830,2007,10,Weekday,34245,1489
18th,830,2007,10,Saturday,3831,958
18th,830,2007,10,Sunday - Holiday,3468,867
18th,830,2007,11,Weekday,30230,1440
18th,830,2007,11,Saturday,3691,923
18th,830,2007,11,Sunday - Holiday,2888,578
18th,830,2007,12,Weekday,25677,1284
18th,830,2007,12,Saturday,4102,820
18th,830,2007,12,Sunday - Holiday,2849,475
18th,830,2008,01,Weekday,28763,1307
18th,830,2008,01,Saturday,2868,717
18th,830,2008,01,Sunday - Holiday,2488,498
18th,830,2008,02,Weekday,29316,1396
18th,830,2008,02,Saturday,3390,848
18th,830,2008,02,Sunday - Holiday,2149,537
18th,830,2008,03,Weekday,29380,1399
18th,830,2008,03,Saturday,4228,846
18th,830,2008,03,Sunday - Holiday,2818,564
18th,830,2008,04,Weekday,32845,1493
18th,830,2008,04,Saturday,3633,908
18th,830,2008,04,Sunday - Holiday,2563,641
18th,830,2008,05,Weekday,30869,1470
18th,830,2008,05,Saturday,4491,898
18th,830,2008,05,Sunday - Holiday,3126,625
18th,830,2008,06,Weekday,31214,1486
18th,830,2008,06,Saturday,4130,1033
18th,830,2008,06,Sunday - Holiday,3561,712
18th,830,2008,07,Weekday,34403,1564
18th,830,2008,07,Saturday,4013,1003
18th,830,2008,07,Sunday - Holiday,3885,777
18th,830,2008,08,Weekday,31797,1514
18th,830,2008,08,Saturday,5072,1014
