  
    ************ Error Message List *************
  
    PW     --- Pathway                           
    Code   --- Error Type + Error Code           
    L#     --- The Line Number Where Error Occurs
    ModNam --- Module Name In Which Error Occurs 
    Hints  --- Hints For The Possible Solution   
    *********************************************
  
PW CODE    L#      MODNAM                       ERROR MESSAGES                      HINTS
-- ---- ------- ------------- -------------------------------------------------- ------------
  
CO W362       8       COCARD: Multiyear 1h NO2/SO2 processing not applicable for     3-hr Ave
ME W186      28       MEOPEN: THRESH_1MIN 1-min ASOS wind speed threshold used           0.50
ME W187      28       MEOPEN: ADJ_U* Option for Stable Low Winds used in AERMET              
MX W492       1       METEXT: SURFDATA YR .NE. 1st YR of file, adj to match file StartYR 2112
MX I440       2       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112010102
MX I440       5       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112010105
MX I440       9       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112010109
MX I440      26       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112010202
MX I440      27       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112010203
MX I440      74       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112010402
MX I440      95       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112010423
MX I440     215       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112010923
MX I460     223  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2112011007
MX I440     242       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112011102
MX I440     243       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112011103
MX I460     353  SET_METDATA: Missing Hour Identified in Meteor. Data File at      2112011517
MX I440     364       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112011604
MX I440     383       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112011623
MX I440     385       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112011701
MX I440     386       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112011702
MX I440     390       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112011706
MX I440     436       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112011904
MX I440     439       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112011907
MX I440     440       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112011908
MX I440     452       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112011920
MX I440     454       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112011922
MX I440     460       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112012004
MX I440     506       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112012202
MX I440     507       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112012203
MX I440     508       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112012204
MX I440     527       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112012223
MX I440     557       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112012405
MX I440     694       CHKCLM: Calm Hour Identified in Meteorology Data File at     2112012922
