X,Y,emissions,datehour
379937,3736207,27.80671,13102108
380137,3736207,28.95473,13102108
380337,3736207,29.9898,13102108
380537,3736207,30.611,13102108
380737,3736207,30.74546,13102108
380937,3736207,30.38223,13102108
381137,3736207,30.81006,12092007
381337,3736207,33.82666,12092007
381537,3736207,35.28311,12092007
381737,3736207,34.93041,12092007
381937,3736207,36.17999,13110908
382137,3736207,37.50773,13042107
382337,3736207,40.79245,13042107
382537,3736207,42.92766,13042107
382737,3736207,43.72608,13042107
382937,3736207,43.19158,13042107
383137,3736207,41.52883,13042107
383337,3736207,39.12002,13042107
383537,3736207,36.49609,13042107
383737,3736207,34.26037,13042107
383937,3736207,34.53807,14012909
384137,3736207,37.30313,13102108
384337,3736207,39.46813,13102108
384537,3736207,40.00034,13102108
384737,3736207,40.1848,14012909
384937,3736207,43.54334,13042107
385137,3736207,48.51938,13042107
385337,3736207,52.87534,12092107
385537,3736207,57.23214,12092107
385737,3736207,60.69317,12092107
385937,3736207,64.48379,12092107
386137,3736207,68.85665,12091007
386337,3736207,70.97489,12091007
386537,3736207,67.56467,12091007
386737,3736207,58.13985,12091007
386937,3736207,58.91047,15081407
387137,3736207,59.94451,12082807
387337,3736207,70.38909,15092507
387537,3736207,76.51411,15092507
387737,3736207,76.58631,15092507
387937,3736207,72.0572,15092507
388137,3736207,65.14653,15092507
388337,3736207,57.6498,15092507
388537,3736207,50.54249,15092507
388737,3736207,44.16718,15092507
388937,3736207,39.56143,15061907
389137,3736207,41.21199,16091807
389337,3736207,42.479,16091807
389537,3736207,42.69105,16091807
389737,3736207,41.65107,16091807
379937,3736407,26.93262,13102108
380137,3736407,28.27148,13102108
380337,3736407,29.71829,13102108
380537,3736407,30.79591,13102108
380737,3736407,31.38218,13102108
380937,3736407,31.43025,13102108
381137,3736407,30.93323,13102108
381337,3736407,32.56637,12092007
381537,3736407,35.30807,12092007
381737,3736407,36.20728,12092007
381937,3736407,35.33677,13110908
382137,3736407,37.38821,13110908
382337,3736407,40.165,13042107
382537,3736407,43.04464,13042107
382737,3736407,44.53956,13042107
382937,3736407,44.54506,13042107
383137,3736407,43.17811,13042107
383337,3736407,40.78,13042107
383537,3736407,37.84402,13042107
383737,3736407,34.97058,13042107
383937,3736407,34.70922,14012909
384137,3736407,36.73732,14012909
384337,3736407,37.97749,14012909
384537,3736407,39.25118,13102108
384737,3736407,40.06794,14012909
384937,3736407,41.38505,14012909
385137,3736407,47.45067,12092107
385337,3736407,53.26408,12092107
385537,3736407,57.25348,12092107
385737,3736407,59.52692,12092107
385937,3736407,64.06793,12091007
386137,3736407,70.01791,12091007
386337,3736407,73.06145,12091007
386537,3736407,69.60266,12091007
386737,3736407,60.00929,15081407
386937,3736407,60.11414,15081407
387137,3736407,64.12259,12082807
387337,3736407,73.6699,15092507
387537,3736407,77.21282,15092507
387737,3736407,74.47462,15092507
387937,3736407,67.98368,15092507
388137,3736407,60.26964,15092507
388337,3736407,52.8445,15092507
388537,3736407,46.23813,15092507
388737,3736407,40.44729,15092507
388937,3736407,40.33783,16091807
389137,3736407,42.49712,16091807
389337,3736407,43.28551,16091807
389537,3736407,42.55308,16091807
389737,3736407,40.4502,16091807
379937,3736607,26.76972,13091607
380137,3736607,27.1638,13102108
380337,3736607,29.01106,13102108
380537,3736607,30.5647,13102108
380737,3736607,31.65471,13102108
380937,3736607,32.19714,13102108
381137,3736607,32.14414,13102108
381337,3736607,31.49402,13102108
381537,3736607,34.3694,12092007
381737,3736607,36.71412,12092007
381937,3736607,36.90747,12092007
382137,3736607,37.12487,13110908
382337,3736607,39.1212,13042107
382537,3736607,42.80067,13042107
382737,3736607,45.10063,13042107
382937,3736607,45.78817,13042107
383137,3736607,44.88313,13042107
383337,3736607,42.66127,13042107
383537,3736607,39.58845,13042107
383737,3736607,36.22551,13042107
383937,3736607,34.88794,14012909
384137,3736607,37.11493,14012909
384337,3736607,38.30689,14012909
384537,3736607,38.96268,14012909
384737,3736607,39.85886,14012909
384937,3736607,41.28999,14012909
385137,3736607,47.42872,12092107
385337,3736607,53.50435,12092107
385537,3736607,57.2185,12092107
385737,3736607,58.10773,12091007
385937,3736607,63.68423,12091007
386137,3736607,70.16145,12091007
386337,3736607,74.47505,12091007
386537,3736607,71.11017,12091007
386737,3736607,62.19397,15081407
386937,3736607,65.65789,12082807
387137,3736607,67.73829,12082807
387337,3736607,73.75987,15092507
387537,3736607,74.48519,15092507
387737,3736607,69.55758,15092507
387937,3736607,62.24415,15092507
388137,3736607,54.82233,15092507
388337,3736607,48.17893,15092507
388537,3736607,42.36653,15092507
388737,3736607,39.468,16091807
388937,3736607,42.56104,16091807
