X,Y,emissions,datehour
379937,3736207,10.53178,13102108
380137,3736207,11.0138,13102108
380337,3736207,11.28158,13102108
380537,3736207,11.29657,13102108
380737,3736207,11.03392,13102108
380937,3736207,11.2223,12092007
381137,3736207,12.97841,12092007
381337,3736207,14.16089,12092007
381537,3736207,14.49929,12092007
381737,3736207,14.17751,13110908
381937,3736207,15.06704,13110908
382137,3736207,15.26795,13042107
382337,3736207,16.15343,13042107
382537,3736207,16.30188,13042107
382737,3736207,15.63735,13042107
382937,3736207,14.20439,13042107
383137,3736207,12.17117,13042107
383337,3736207,10.64197,14012909
383537,3736207,11.89953,14012909
383737,3736207,12.60237,14012909
383937,3736207,12.61208,14012909
384137,3736207,12.50391,14021109
384337,3736207,11.92657,14021109
384537,3736207,12.49337,12092107
384737,3736207,13.35475,12092107
384937,3736207,13.52504,12092107
385137,3736207,13.43764,13062606
385337,3736207,12.64701,13062606
385537,3736207,12.55925,12090207
385737,3736207,12.33659,12090207
385937,3736207,11.51354,12090207
386137,3736207,11.32824,12040807
386337,3736207,10.89793,14021608
386537,3736207,12.03342,14021608
386737,3736207,12.21169,14021608
386937,3736207,13.03657,14041507
387137,3736207,13.24814,14041507
387337,3736207,12.30139,14041507
387537,3736207,12.18295,15092507
387737,3736207,12.6835,15092507
387937,3736207,12.77181,15092507
388137,3736207,12.47029,15092507
388337,3736207,11.83394,15092507
388537,3736207,10.93873,15092507
388737,3736207,12.44014,16091807
388937,3736207,14.00298,16091807
389137,3736207,14.85831,16091807
389337,3736207,14.93977,16091807
389537,3736207,14.30233,16091807
389737,3736207,13.09278,16091807
379937,3736407,10.20993,13102108
380137,3736407,10.90421,13102108
380337,3736407,11.41381,13102108
380537,3736407,11.68603,13102108
380737,3736407,11.67754,13102108
380937,3736407,11.36142,13102108
381137,3736407,12.0166,12092007
381337,3736407,13.76568,12092007
381537,3736407,14.80064,12092007
381737,3736407,14.84426,12092007
381937,3736407,14.9833,13110908
382137,3736407,15.4374,13110908
382337,3736407,16.30263,13042107
382537,3736407,16.89008,13042107
382737,3736407,16.61173,13042107
382937,3736407,15.44736,13042107
383137,3736407,13.52408,13042107
383337,3736407,11.09883,13042107
383537,3736407,12.00426,14012909
383737,3736407,12.93041,14012909
383937,3736407,13.12235,14012909
384137,3736407,12.90891,14021109
384337,3736407,12.43471,14021109
384537,3736407,12.83718,12092107
384737,3736407,13.79406,12092107
384937,3736407,13.99508,12092107
385137,3736407,13.7676,13062606
385337,3736407,12.89143,13062606
385537,3736407,12.99681,12090207
385737,3736407,12.6672,12090207
385937,3736407,11.69417,12090207
386137,3736407,11.5141,12040807
386337,3736407,11.60742,14021608
386537,3736407,12.50976,14021608
386737,3736407,12.64395,14041507
386937,3736407,13.64553,14041507
387137,3736407,13.32224,14041507
387337,3736407,12.26676,14091307
387537,3736407,12.94437,15092507
387737,3736407,13.22689,15092507
387937,3736407,13.06568,15092507
388137,3736407,12.51013,15092507
388337,3736407,11.63938,15092507
388537,3736407,12.36559,16091807
388737,3736407,14.17175,16091807
388937,3736407,15.23103,16091807
389137,3736407,15.44227,16091807
389337,3736407,14.84912,16091807
389537,3736407,13.60837,16091807
389737,3736407,11.93816,16091807
379937,3736607,9.67661,13102108
380137,3736607,10.56125,13102108
380337,3736607,11.30525,13102108
380537,3736607,11.84521,13102108
380737,3736607,12.12097,13102108
380937,3736607,12.08357,13102108
381137,3736607,11.70396,13102108
381337,3736607,12.86507,12092007
381537,3736607,14.57107,12092007
381737,3736607,15.39648,12092007
381937,3736607,15.0707,12092007
382137,3736607,15.66231,13110908
382337,3736607,16.21184,13042107
