totalpop,agedep,drovealone,walked,fromhome,lfblack,geoid_tract
4138,53.4,80.1,0,14.1,67.8,42003411001
5181,76.8,77.7,0.4,14.8,0,42003411002
4421,68.1,81.4,0,6.6,40,42003412002
6346,76.4,75.4,0,14.6,76.9,42003412003
3934,77.6,79.2,0,9,51.4,42003412004
6398,68.1,78.7,1.2,4.3,57.1,42003413100
3705,73.7,84.8,1.1,2.5,100,42003413201
2653,83.2,74.3,0.6,9.5,NA,42003413202
4235,87.8,74.4,0.5,7.9,62.5,42003413300
4458,79.7,75.6,0.3,12.9,0,42003413400
6870,41.2,80,2.9,4.6,73.7,42003413500
5171,58.3,84.3,0.9,8.8,53.2,42003414101
7372,74.3,83.4,0.9,5.9,67,42003414102
5692,94.5,75.9,2.1,13.4,NA,42003414200
4449,58.2,74.4,2.1,11.4,85.7,42003415001
2716,72.6,82.9,0,7.6,0,42003415002
1577,46.6,86,3,3.3,NA,42003416000
1978,78.8,82.4,0.6,6.2,NA,42003417100
1329,71,77.6,5.6,1.6,0,42003417200
1656,68,75.3,1.8,7.1,100,42003418000
3024,90.3,75.5,4.2,6.7,0,42003419000
1580,78.9,64.9,11.1,4.8,84.1,42003420000
4678,101,79,0.7,10.8,0,42003421100
4147,81.1,79.5,1.3,9.5,59.4,42003421200
5104,83.6,78,1.2,13,NA,42003422000
2687,71.9,63.4,2.6,16.9,92.8,42003423000
3347,45,59.8,6,6.8,82.3,42003424000
3336,56.8,73.1,4.4,2.5,70,42003425000
6107,76.5,80.4,0,10.9,100,42003426300
3923,58.4,89,1.6,2.6,0,42003426400
2355,59,82.7,7.3,1.9,NA,42003426700
5295,83.4,84.2,0,9.2,98.7,42003426800
3686,45.8,71.9,8.5,2.3,77.9,42003427000
5437,61.7,75.7,0.5,7.1,50,42003427100
4745,65.7,81.5,0.5,4.4,100,42003427200
1181,44.7,67.8,0.7,9.5,100,42003428100
2062,58.4,83.3,1.6,0.7,88.2,42003428200
2586,63.8,77.2,0.9,9.4,100,42003429100
4456,72,69.7,0.4,9.7,47.3,42003429201
4253,79.9,80.7,0,12.6,83.3,42003429202
5891,82.2,65.8,1.8,22.9,38.9,42003429300
3939,71.5,64.8,1.4,16.8,92,42003429400
3948,53,73,1.2,10.8,93.4,42003429500
