fac_name,site_name,fac_street,fac_city,fac_state,fac_zip,naics_code,latitude,longitude,pollutant_code,pollutant_desc,pollutant_type,emissions_uom,emissions
FOSTER FARMS,FOSTER FEED SALES,11245 SWANSON RD,BURREL,CA,93607,311119,36.49369,-119.99494,SO2,Sulfur Dioxide,CAP,TON,0.00986
FOWLER DEHYDRATOR,FOWLER DEHYDRATOR,726 S 8TH ST,FOWLER,CA,93625,115114,36.621001,-119.672997,SO2,Sulfur Dioxide,CAP,TON,12.1586
FRESNO BEE,FRESNO BEE,1626 E ST,FRESNO,CA,93786,513110,36.73608,-119.802774,SO2,Sulfur Dioxide,CAP,TON,4.72e-6
FRESNO/CLOVIS REGIONAL WWTP,FRESNO/CLOVIS REGIONAL WWTP,5607 W JENSEN AVE,FRESNO,CA,93706,221320,36.703,-119.893,SO2,Sulfur Dioxide,CAP,TON,1.2832283
GILLS TEXACO,GILLS TEXACO,2459 TAHOE ST,CARUTHERS,CA,93609,457120,36.540047,-119.835783,SO2,Sulfur Dioxide,CAP,TON,0.00936444
GRANITE CONSTRUCTION COMPANY/ENV MGR,"GRANITE CONSTRUCTION, COALINGA",38940 HIGHWAY 33,COALINGA,CA,93210,324121,36.167493,-120.36422,SO2,Sulfur Dioxide,CAP,TON,1.952865
GRUNDFOS PUMPS MANUFACTURING CORPORATION,GRUNDFOS PUMPS CORPORATION,5900 E SHIELDS AVE,FRESNO,CA,93727,333914,36.779164,-119.68692,SO2,Sulfur Dioxide,CAP,TON,6.8141e-4
"H&R GUNLUND RANCHES, INC","H & R GUNLUND RANCHES, INC",3675 W SAGINAW AVE,CARUTHERS,CA,93609,115114,36.552228,-119.8569,SO2,Sulfur Dioxide,CAP,TON,0.3174054
ONEILL BEVERAGES CO LLC,ONEILL BEVERAGES CO LLC,8418 S LAC JAC AVE,PARLIER,CA,93648,312130,36.612452,-119.484102,SO2,Sulfur Dioxide,CAP,TON,0.14598444
CALMAT DBA VULCAN MATERIALS COMPANY,CALMAT DBA VULCAN MATERIALS COMPANY,17041 E KINGS CANYON RD,SANGER,CA,93657,324121,36.728017,-119.485757,SO2,Sulfur Dioxide,CAP,TON,0.0406
IRS-FRESNO SERVICE CENTER,IRS-FRESNO SERVICE CENTER,5045 E BUTLER AVE,FRESNO,CA,93727,921190,36.730437,-119.724742,SO2,Sulfur Dioxide,CAP,TON,0.0127794
KAISER PERMANENTE MED CENTER,KAISER PERMANENTE MED CENTER,7300 N FRESNO ST,FRESNO,CA,93720,622110,36.842331,-119.783042,SO2,Sulfur Dioxide,CAP,TON,0.0050266
"LION RAISINS, INC.","LION RAISINS, INC.",9400 S DEWOLF,SELMA,CA,93662,311119,36.593135,-119.646539,SO2,Sulfur Dioxide,CAP,TON,1.072
LONE STAR DEHYDRATOR,LONE STAR DEHYDRATOR,2730 S DEWOLF,SANGER,CA,93657,115114,36.696658,-119.645638,SO2,Sulfur Dioxide,CAP,TON,0.0232
LOS GATOS TOMATO PRODUCTS,LOS GATOS TOMATO PRODUCTS,19800 GALE AVE,HURON,CA,93234,311421,36.182981,-120.15343,SO2,Sulfur Dioxide,CAP,TON,0.30599
GRUMA CORPORATION/MISSION FOODS,GRUMA CORPORATION,2849 E EDGAR AVE,FRESNO,CA,93706,311824,36.696381,-119.780897,SO2,Sulfur Dioxide,CAP,TON,0.011972
OLAM WEST COAST INC,OLAM WEST COAST INC,1175 S 19TH AVE,LEMOORE,CA,93245,311422,36.274195,-119.800337,SO2,Sulfur Dioxide,CAP,TON,0.04402963
HOLMES WESTERN OIL CORPORATION,HOLMES WESTERN OIL CORPORATION,PYRAMID HILLS LEASE,KINGS COUNTY,CA,93204,211120,35.794371,-120.012746,SO2,Sulfur Dioxide,CAP,TON,0.00711
